date,tournament,team,scored_goals,matches,conceded_goals,continent
2005,Friendly,Antigua and Barbuda,4.0,3.0,7.0,Americas
2005,Other,Argentina,18.0,12.0,16.0,Americas
2005,Other,Armenia,7.0,7.0,13.0,Asia
2005,Friendly,Australia,12.0,5.0,2.0,Oceania
2005,Other,Australia,15.0,7.0,12.0,Oceania
2005,Friendly,Austria,2.0,1.0,2.0,Europe
2005,Other,Austria,9.0,8.0,6.0,Europe
2005,Friendly,Azerbaijan,2.0,5.0,7.0,Asia
2005,Other,Azerbaijan,0.0,6.0,17.0,Asia
2005,Friendly,Bahrain,19.0,8.0,9.0,Asia
2005,Other,Bahrain,6.0,10.0,10.0,Asia
2005,Other,Bangladesh,8.0,7.0,3.0,Asia
2005,Friendly,Barbados,9.0,3.0,5.0,Americas
2005,Other,Barbados,2.0,3.0,7.0,Americas
2005,Friendly,Belarus,6.0,3.0,3.0,Europe
2005,Other,Belarus,4.0,7.0,9.0,Europe
2005,Friendly,Belgium,2.0,2.0,4.0,Europe
2005,Other,Belgium,15.0,7.0,6.0,Europe
2005,Other,Belize,0.0,3.0,7.0,Americas
2005,Other,Benin,3.0,5.0,12.0,Africa
2005,Other,Bolivia,9.0,7.0,17.0,Americas
2005,Other,Bosnia and Herzegovina,11.0,8.0,8.0,Europe
2005,Friendly,Botswana,1.0,5.0,1.0,Africa
2005,Other,Botswana,6.0,7.0,11.0,Africa
2005,Friendly,Brazil,12.0,3.0,1.0,Americas
2005,Other,Brazil,35.0,13.0,13.0,Americas
2005,Friendly,Bulgaria,12.0,4.0,3.0,Europe
2005,Other,Bulgaria,8.0,7.0,13.0,Europe
2005,Other,Burkina Faso,9.0,5.0,7.0,Africa
2005,Other,Burundi,1.0,3.0,4.0,Africa
2005,Friendly,Cambodia,0.0,1.0,2.0,Asia
2005,Friendly,Cameroon,1.0,2.0,0.0,Africa
2005,Other,Cameroon,11.0,5.0,5.0,Africa
2005,Friendly,Canada,5.0,5.0,8.0,Americas
2005,Other,Canada,2.0,3.0,4.0,Americas
2005,Other,Cape Verde,4.0,5.0,10.0,Africa
